PROC_TRACEINFO,OP070_V1,OP090_F1,OP070_V2,OP120_R1,OP090_F2,OP110_M1,OP100_C1,OP120_R2,OP070_V3,OP090_F3,OP110_M2,OP090_F4,OP070_V3,TEST_OP070_V1,TEST_OP090_F1,TEST_OP070_V2,TEST_OP120_R1,TEST_OP090_F2,TEST_OP110_M1,TEST_OP100_C1,TEST_OP120_R2,TEST_OP070_V3,TEST_OP090_F3,TEST_OP110_M2,TEST_OP090_F4,TEST_OP070_V3
47,153.7,170.8,142.1,110.57,12.06,12.24,,11.98,6.6,23.47,19.3,102.36,6.63,134.9,151.94,169.3,116.9,12.06,12.25,0.41,11.97,6.41,24.72,18.3,97.63,6.41
48,150.8,157.12,130.6,111.52,12.07,12.31,,11.97,6.62,26.28,11.9,96.9,6.61,175,135.05,197.9,112.98,11.73,12.26,,11.97,6.61,24.05,15,100.71,6.13
49,167.7,155.14,148.8,109.21,11.92,12.35,,11.97,6.6,25.12,10.7,95.3,6.61,148.2,161.18,190.2,112.85,11.68,12.33,,11.97,6.6,23.93,14.7,94.17,6.61
50,170.8,150.33,144.3,112.7,11.91,12.34,,11.97,6.61,20.83,12.8,90.8,6.6,161,168.43,149.7,106.22,11.87,12.28,,11.98,6.62,26.34,25.2,98.86,6.6
51,176.2,151.04,162.6,112.99,12.11,12.34,0.38,11.97,6.41,20.04,14.8,86.45,6.42,163.7,148.71,138.6,112.8,11.9,12.25,,11.97,6.62,24.65,16,98.85,6.61
52,145.5,151.68,144.8,111.93,11.92,12.2,,11.97,6.62,23.91,14.5,93.93,6.6,175,169.23,164.8,122.77,12.09,12.19,,11.97,6.64,24.61,15.9,109.29,6.61
53,156.3,166.98,178.7,110.58,11.88,12.27,,11.97,6.62,24.21,18.6,92.65,6.61,174.8,173.68,151.7,113.43,12.06,12.24,,11.97,6.62,22.29,15.6,93.85,6.61
54,131.1,132.42,165.8,118.44,12.05,12.31,0.41,11.97,6.4,22.23,11,101.72,6.4,144.1,149.84,136.2,116.66,12.05,12.2,0.41,11.97,6.4,21.45,22,93.61,6.41
55,167.7,130.63,168.9,117.87,12.12,12.27,0.4,11.97,6.4,21.15,14.2,83.88,6.4,154.2,160.19,139.6,113.68,11.83,12.35,0.37,11.97,6.61,27.03,40.6,97.74,6.6
56,159.7,149.68,158.3,111.23,11.78,12.29,,11.97,6.62,24.45,17.8,89.64,6.65,163,164.14,164.1,117.66,11.81,12.21,0.4,11.97,6.61,24.08,21.9,108.13,6.61
57,184.9,166.75,161.3,118.15,12.06,12.21,,11.97,6.6,23.3,20.9,105.9,6.62,142.5,151.49,150.2,113.28,12.09,12.34,,11.98,6.62,23.55,16.9,97.27,6.61
58,162.2,140.16,176.8,110.74,11.86,12.25,,11.97,6.6,26.75,12.8,102.36,6.62,151.1,164.07,157.3,118.81,11.86,12.27,,11.97,6.6,24.38,15,95.1,6.61
59,138.4,157.28,158.2,108.68,12.1,12.17,,11.97,6.62,22.4,17,99.41,6.63,155.9,176.95,178.1,110.5,12.06,12.21,,11.97,6.6,23.48,18.6,98.85,6.62
60,149.4,173.41,138.2,111.28,12.06,12.18,,11.98,6.62,23.5,19.5,102.23,6.62,163.8,144.46,176.3,111.62,11.86,12.26,,11.97,6.6,26.75,17.9,103.31,6.61
61,181.9,159.47,163.8,110.09,11.83,12.24,,11.97,6.64,25.99,15.5,101.11,6.63,182.9,167.39,197.5,113.06,12.07,12.14,,11.97,6.6,21.28,21.5,96.21,6.51
62,135.5,149.17,150.3,105.89,12.04,12.25,0.41,11.97,6.4,23.65,16.9,106.58,6.42,158.1,151.87,176.4,108.95,11.91,12.26,,11.97,6.62,24.28,14.9,93.66,6.62
63,137,159.96,163.5,113.99,11.89,12.26,,11.97,6.62,24.46,16.6,91.93,6.61,166.2,160.3,157.6,110.3,12.1,12.16,0.41,11.97,6.4,22.24,19.7,99.4,6.44
64,183.7,179.79,170.1,116.29,12.07,12.18,,11.97,6.6,22.22,14.8,101.97,6.61,141.4,176.61,139.2,112.92,11.82,12.14,0.38,11.97,6.61,27.47,19.5,106.76,6.61
65,173.1,173.31,133.9,119.84,12.07,12.17,,11.97,6.61,23.3,16.1,97.66,6.61,145,165.84,154.7,110.89,11.88,12.37,,11.97,6.6,23.55,15.7,88.78,6.61
66,185.7,151.72,146.8,114.05,12.11,12.36,0.32,11.97,6.4,18.81,11,80.01,6.4,137.1,142.85,191,112.88,11.86,12.26,,11.97,6.6,26.22,18.4,99.27,6.62
67,161.6,152.99,160.3,114.72,11.9,12.3,,11.97,6.62,24.75,12.4,95.73,6.63,157.4,138.05,132.6,113.21,12.07,12.24,0.41,11.97,6.41,23.62,17.4,103.46,6.4
68,166.5,166.87,153.2,114.47,11.75,12.36,,11.97,6.61,25.13,14.4,95.29,6.61,165.3,146.59,159.1,114.44,12.09,12.17,0.41,11.97,6.4,22.77,18,102.53,6.41
69,165.2,161.02,160.4,115.23,11.82,12.43,0.37,11.97,6.61,23.48,15.4,94.86,6.61,183.8,145.7,197.5,112.32,11.78,12.24,,11.97,6.6,24.57,12.4,97.19,6.38
70,183.8,154.14,162.1,115.79,12.05,12.28,0.38,11.97,6.4,23.07,21.9,102.98,6.44,155.4,171.28,165.9,112.58,11.87,12.27,,11.97,6.62,24.07,32.9,93.92,6.62
71,164.1,149.93,172.2,111.26,11.91,12.3,,11.97,6.62,25.21,17.1,94.73,6.61,180,133.15,165.3,118.3,12.05,12.33,0.41,11.97,6.4,21.12,25.4,102.44,6.42
72,159.5,137.83,148.1,115.95,12.07,12.23,0.41,11.97,6.41,19.81,18.1,93.79,6.43,146.3,174.26,172,113.93,12.07,12.2,,11.97,6.6,23.51,14.3,104.29,6.61
73,181,190.79,135.7,115.81,12.07,12.15,,11.97,6.62,24.05,23,106.03,6.63,166,144.36,153.1,111.27,11.84,12.35,0.35,11.97,6.61,25.3,18.4,103.34,6.61
74,167.1,168.34,148.8,113.51,11.92,12.18,,11.97,6.6,26.79,20.8,104.43,6.62,175.6,175.34,141.3,112.4,11.89,12.39,,11.97,6.63,25.97,9.7,94.17,6.63
75,157.1,160.11,168.4,114.61,11.82,12.16,0.39,11.98,6.61,26.16,18.6,101.21,6.61,167.3,159.75,154.4,114.91,11.82,12.24,0.36,11.97,6.6,26.64,13.4,97.92,6.61
76,137.2,150.12,134.8,107.8,12.04,12.24,0.41,11.97,6.41,22.62,10.9,98.81,6.41,151.7,142.43,168,110.71,11.83,12.27,0.38,11.97,6.61,26.11,12.8,103.81,6.61
77,168.9,151.84,173.9,115.24,12.05,12.33,0.41,11.97,6.4,23.03,13.1,98.03,6.4,175.4,180,169.8,116.64,12.06,12.17,,11.98,6.62,23.59,16,105.1,6.61
78,176.2,158.03,151.6,118.45,11.82,12.21,0.39,11.97,6.61,26.13,16.3,99.95,6.61,166.3,144.51,156.3,112.43,12.1,12.22,0.4,11.97,6.4,18.56,35.7,84.77,6.41
79,190.2,135.3,161.1,111.42,11.71,12.31,,11.97,6.6,24.28,8.7,96.25,6.63,155.7,175.91,165.5,109.96,11.89,12.25,,11.98,6.6,24.69,13.7,98.54,6.61
80,184.9,181.24,158.8,113.27,12.08,12.2,,11.98,6.6,25.03,21.2,102.81,6.61,162.5,141.89,137.1,112.77,11.83,12.21,0.38,11.98,6.61,27.05,33.9,102.07,6.61
81,146.1,156.38,133.3,121.43,11.81,12.29,0.38,11.97,6.61,25.67,18.2,98.35,6.63,165.5,163.17,163.3,112.55,11.76,12.26,,11.97,6.6,27.1,11.4,104.43,6.63
82,132.2,160.42,150.7,110.32,11.85,12.19,0.32,11.97,6.6,24.51,37.5,93.99,6.61,148.3,168.94,156.8,114.16,11.87,12.26,,11.97,6.62,25.09,14.7,90.15,6.61
83,144.9,168.67,159.5,122.8,12.07,12.26,,11.97,6.62,22.77,13.3,96.48,6.61,158.7,168.8,161.5,112,12.07,12.23,,11.97,6.62,22.01,16.3,102.42,6.6
84,165.5,174.58,141.7,114.57,12.04,12.28,,11.97,6.62,22.39,11.9,99.64,6.61,147.7,159.09,161.5,122.65,11.95,12.33,,11.97,6.62,22.62,12.3,112.06,6.61
85,160.4,171.15,149.7,111.77,11.97,12.24,,11.97,6.6,24.47,14.9,96.66,6.65,166,166,169.7,111.31,11.79,12.23,0.39,11.97,6.61,26.82,11.6,104,6.6
86,181.9,179.68,156.4,113.92,12.05,12.25,,11.97,6.6,25.61,15.6,102.29,6.61,176.1,152.12,186.8,117.56,11.86,12.27,,11.97,6.62,27.77,15.3,107.16,6.6
87,197.7,143.94,185.7,117.7,11.84,12.28,,11.97,6.59,27.17,18,107.11,6.62,148.1,158.28,150.3,103.79,11.82,12.45,0.36,11.97,6.61,26.06,18.8,102.16,6.61
88,163.4,148.37,157.1,108.52,12.09,12.3,0.41,11.97,6.4,22.92,16.8,101.2,6.41,166.6,167.14,181.6,115.75,12.09,12.26,,11.97,6.61,20.97,24,99.03,6.6
89,157.1,171.2,164.8,118.03,12.07,12.19,,11.97,6.62,22.33,33,104.31,6.63,163.4,184.97,195.4,111.38,12.06,12.21,,11.98,6.62,24.74,19.4,106.85,6.63
90,151.1,180.65,159,117.38,12.07,12.21,,11.97,6.62,25.71,21.3,111.32,6.63,139.3,153.5,166.7,122.51,12.09,12.22,,11.97,6.62,26.46,15.5,103.18,6.6
91,133.7,159.67,175.8,113.64,11.81,12.24,0.39,11.97,6.61,24.3,18.3,97.02,6.61,165.2,168.11,180.7,116.93,12.06,12.18,,11.97,6.61,22.16,14.3,101.74,6.6
92,156.4,169.04,168.6,108.74,11.87,12.27,,11.98,6.6,24.82,12,95.88,6.6,130,160.13,168,106.32,11.83,12.22,0.37,11.98,6.61,25.79,18.8,99.7,6.61
93,147.7,171.07,142.8,114.23,11.89,12.3,,11.97,6.62,26.5,10.7,103.28,6.63,121.5,163.08,165.8,113.85,12.07,12.2,,11.97,6.61,22,12.5,102.13,6.62
94,176.7,145.09,140.8,109.85,12.1,12.37,0.41,11.97,6.41,22.2,13.5,93.28,6.41,157.1,152.48,147.1,113.79,12.03,12.25,0.41,11.97,6.41,23.36,15.4,107.2,6.41
95,167.1,162.13,172.7,118.08,12.08,12.34,,11.97,6.61,24.22,16.2,104.1,6.63,144,157.11,144.3,112.56,12.1,12.2,0.4,11.97,6.41,19.57,15.5,93.54,6.41
96,156,166.49,164.2,114.76,12.07,12.23,,11.97,6.63,22.15,15.5,96.87,6.62,151.2,158.65,156.3,115.76,12.04,12.23,0.41,11.97,6.41,23.9,15.7,104.21,6.41
97,158.4,143.42,133.8,115.97,11.85,12.24,,11.97,6.62,24.29,18.6,101.11,6.61,159.6,168.25,162.8,107.08,11.89,12.23,,11.97,6.62,24.74,12.9,89.1,6.61
98,132.2,156.99,127.9,122.26,12.02,12.2,0.41,11.97,6.42,24.91,11.7,100.03,6.41,174.4,132.35,130.6,108.24,12.04,12.22,0.41,11.97,6.41,21.75,14.4,94.87,6.41
99,162.3,177.67,195.7,111.42,11.89,12.19,,11.98,6.61,25.36,10.6,101.69,6.61,185.8,154.19,187.5,116.29,11.83,12.26,0.36,11.97,6.61,23.03,18.2,94.45,6.61
100,151.4,163.41,152.3,114,11.9,12.27,,11.97,6.61,24.5,29.8,101.73,6.6,192.8,179.22,129.7,111.01,12.05,12.26,,11.97,6.62,24.69,22.4,103.14,6.61
101,172,150.37,156.3,111.09,12.05,12.17,0.41,11.97,6.42,19.22,21.2,96.42,6.41,193.5,168.19,168.5,114.06,11.82,12.18,,11.97,6.61,28.43,22.5,100.39,6.63
102,137.6,151.91,162,118.19,11.8,12.36,,11.97,6.61,25.18,12,95.4,6.61,132.9,140.56,158.4,110.94,12.12,12.3,0.4,11.97,6.41,18.27,11.5,80.66,6.41
103,135.7,161.03,169.8,116.92,12.08,12.3,,11.97,6.6,24.37,9.8,97.43,6.63,137.8,150.25,134.3,115.14,12.1,12.24,0.41,11.97,6.42,22.09,19.5,93.4,6.4
104,157.8,178.1,144.3,113.66,11.89,12.3,,11.97,6.6,27.04,30.2,100.45,6.61,170.3,166.13,160.5,118.39,12.1,12.28,,11.97,6.61,22.83,20.5,97.3,6.61
105,149.3,154,197.5,123.92,12.1,12.25,,11.97,6.61,25.2,14.2,97.76,6.57,168.7,164.28,161.2,117.56,11.68,12.34,,11.97,6.6,28.86,15.6,113.29,6.61
106,150.1,144.22,170.9,112.44,12.06,12.31,0.41,11.97,6.41,22.37,15.2,93.41,6.41,156,138.15,143.3,113.62,12.06,12.2,0.41,11.97,6.41,24.07,18.1,103.04,6.4
107,149.2,168.69,171.3,116.88,11.9,12.26,,11.97,6.6,24.86,12,95.95,6.62,163.5,156.44,174.8,110.69,12.09,12.28,,11.97,6.62,24.96,9,101.17,6.61
108,156.5,176.3,153.8,109.27,11.89,12.32,,11.97,6.65,27.55,17.9,106.18,6.6,147.7,150.75,150.3,113.67,12.13,12.23,0.39,11.97,6.41,21.26,16.5,95.39,6.41
109,135.2,166.82,147,119.05,12.08,12.29,,11.98,6.6,22.13,12.3,99.01,6.61,162,171.34,164.1,112.65,11.93,12.24,,11.97,6.62,23.83,16.5,98.86,6.61
110,172.6,162.23,151.5,113.58,12.08,12.2,,11.97,6.61,24.83,32.4,100.79,6.61,138.1,154.47,161.5,112.77,12.1,12.24,0.39,11.97,6.4,18.74,14.4,81.85,6.41
111,164.7,165.71,181.5,115.26,11.81,12.26,0.38,11.97,6.61,25.55,17.2,99.9,6.62,147.2,151.75,177,108.91,11.74,12.24,,11.97,6.62,26.99,13.8,107.18,6.6
112,165.7,164.63,171.7,116.82,12.08,12.33,,11.98,6.61,22.11,12.7,93.78,6.61,146.5,158.35,169.2,118.44,11.88,12.29,,11.97,6.63,24.59,11.8,92.96,6.61
113,129.6,160.82,159.5,110.88,11.84,12.39,0.39,11.97,6.61,25.97,26.9,101.33,6.6,150.4,153.41,156,110.04,12.04,12.27,0.41,11.97,6.42,21.88,18.2,99.22,6.44
114,105.1,161.6,196.8,120.87,11.83,12.23,,11.97,6.61,25.44,19.3,105.61,6.62,160,154,167.6,119.86,12.09,12.37,,11.97,6.61,22.46,10.3,98.92,6.62
115,192,169.74,159.2,112.78,12.08,12.16,,11.98,6.62,22.8,43.8,99.2,6.64,138.6,173.37,170.1,108.34,11.88,12.22,,11.98,6.62,21.64,23.1,92.72,6.61
116,135.9,160.67,171.8,116.71,11.9,12.27,,11.97,6.62,24.17,13.4,92.62,6.6,167.9,173.88,179.1,114.16,12.06,12.27,,11.97,6.62,25.49,11.1,99.42,6.61
117,153.7,145.21,166.7,112.84,11.83,12.4,0.37,11.97,6.61,25.16,17.2,105.05,6.61,164.3,172.52,147,109.17,11.9,12.31,,11.98,6.62,23.51,14.2,104.49,6.63
118,164.7,147.38,168.9,116.84,12.12,12.18,0.41,11.97,6.4,20.11,16.1,84.19,6.43,154.9,174.09,150.1,116.58,12.06,12.34,,11.97,6.62,27.71,13.3,97.41,6.62
119,151.5,158.8,176,108.9,11.82,12.18,0.37,11.97,6.6,25.64,42.1,106.61,6.61,162.9,174.74,161,105.03,11.89,12.21,,11.98,6.61,25.43,16.8,103.78,6.63
120,165.9,156.66,160.1,107.24,11.91,12.21,,11.97,6.62,24.03,13.7,98.33,6.62,181.5,163.94,155.9,110.5,11.8,12.27,0.38,11.97,6.61,25.36,16.4,100.03,6.61
121,147.2,148.66,144.2,117.4,12.13,12.17,0.37,11.97,6.41,17.55,19.3,86.2,6.42,165.8,169.14,139.7,115.67,11.88,12.27,,11.97,6.62,25.82,15.7,88.48,6.63
122,173.3,147.81,169,111.4,11.85,12.26,,11.98,6.61,25.69,14.3,103.83,6.6,166.1,145.52,148.4,111.17,11.86,12.26,,11.97,6.61,27.84,14.5,101.73,6.6
123,145.1,140.8,155.3,111.65,12.04,12.33,0.41,11.97,6.42,23.19,20,100.24,6.43,166,160,146.4,111.4,11.82,12.37,0.38,11.97,6.61,25.24,8.7,109.12,6.61
124,148.5,150.99,176.1,113.2,12.04,12.27,0.41,11.97,6.41,23.18,16.5,98.57,6.41,165.3,163.35,171.1,116.68,11.82,12.25,,11.97,6.6,26.68,14.1,110.2,6.6
125,157.2,148.16,159.2,106.65,12.13,12.37,0.39,11.97,6.41,26.96,12.2,95.15,6.44,156.2,152.37,149.6,118.21,12.09,12.21,0.36,11.97,6.4,19.22,13.3,89.37,6.43
126,158.6,166.25,185.7,117.59,11.84,12.28,,11.97,6.61,25.39,17.2,106.93,6.62,171.1,153.66,119.4,111.07,12.08,12.28,,11.98,6.62,20.81,10.8,95.51,6.61
127,164.3,160.06,152.1,109.99,11.76,12.23,,11.98,6.62,23.01,15.8,95.87,6.62,164.2,163.89,164.3,114.55,11.84,12.34,,11.97,6.61,28.75,10.6,102.33,6.61
128,174.1,162.89,178.3,114.72,11.83,12.18,,11.97,6.6,26.49,20.9,108.42,6.61,148.6,154.19,196.5,113.8,12.11,12.33,0.4,11.97,6.41,20.11,15.1,88.29,6.4
129,152.7,162.2,155.7,116,11.83,12.27,0.37,11.97,6.61,24.55,14.1,98.43,6.61,171.2,156.76,157,112.29,12.09,12.29,0.41,11.97,6.41,23.6,12.9,95.04,6.4
130,144.1,157.15,149.7,111.1,12.01,12.32,0.41,11.97,6.4,22.66,18.6,94.21,6.42,154.6,175.28,130.4,116.46,12.07,12.13,,11.98,6.62,25.19,22.1,105.52,6.61
131,165.5,156.24,164.2,119.04,12.1,12.25,,11.97,6.62,24.98,20,97.4,6.61,135.7,153.43,140.3,110.52,12.1,12.27,0.41,11.97,6.41,24.03,21.9,103.73,6.43
132,153.1,169.41,156.1,112.87,12.06,12.36,,11.97,6.62,22.63,11.2,104.54,6.61,194.1,143.25,149.3,113.95,12.06,12.18,0.41,11.97,6.41,21.3,18.3,91.64,6.41
133,138.1,155.57,178.2,118.91,12.08,12.28,,11.98,6.62,25.42,17.7,95.21,6.61,145.6,172.19,155,111.74,12.06,12.19,,11.97,6.62,24.51,20.6,100.36,6.63
